source_index,source_lat,source_lon,source_current_pano_id,source_current_image_file,candidate_rank,historical_pano_id,historical_date,historical_lat,historical_lon,distance_to_source_m,heading,pitch,roll,search_status,error
4,50.102105241860464,14.392777109302326,rNuw8QdI95icPCHgmmixKA,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0004.jpg,1,9RpWi8LBgwzH7vVYlE2BZw,2014-05,50.1021431496879,14.39273381672737,5.225,309.2731628417969,89.653564453125,0.5992851853370667,ok,
4,50.102105241860464,14.392777109302326,rNuw8QdI95icPCHgmmixKA,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0004.jpg,2,WqNn3jUQ6jhXhX9i9nwn0A,2009-05,50.10215091009225,14.3927154754675,6.716,311.255859375,90.9833755493164,0.366439163684845,ok,
5,50.10213480232558,14.392723511627908,rNuw8QdI95icPCHgmmixKA,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0005.jpg,0,9RpWi8LBgwzH7vVYlE2BZw,2014-05,50.1021431496879,14.39273381672737,1.184,309.2731628417969,89.653564453125,0.5992851853370667,ok,
5,50.10213480232558,14.392723511627908,rNuw8QdI95icPCHgmmixKA,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0005.jpg,1,Zq__-KrsxjDMjUm1yqh2UA,2011-08,50.10213378567725,14.39274583659792,1.596,309.7293701171875,89.33851623535156,359.8870239257812,ok,
5,50.10213480232558,14.392723511627908,rNuw8QdI95icPCHgmmixKA,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0005.jpg,2,WqNn3jUQ6jhXhX9i9nwn0A,2009-05,50.10215091009225,14.3927154754675,1.881,311.255859375,90.9833755493164,0.366439163684845,ok,
6,50.102164362790695,14.392669913953489,IY9XNXHNYPd1Bp5YgMs-Tw,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0006.jpg,0,owLFrxNx14S_585zOhENuA,2011-08,50.10219635726465,14.39263327930793,4.414,309.8973388671875,89.47758483886719,0.07633780688047409,ok,
6,50.102164362790695,14.392669913953489,IY9XNXHNYPd1Bp5YgMs-Tw,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0006.jpg,1,-JJ2Iwoc9N-sZ3uWzfmDfg,2014-05,50.10220569978298,14.39261128543023,6.214,307.2321472167969,89.18111419677734,359.9812622070312,ok,
6,50.102164362790695,14.392669913953489,IY9XNXHNYPd1Bp5YgMs-Tw,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0006.jpg,2,wkbJRVSuiD2e-vZQ6NorlQ,2009-05,50.10221524489103,14.39260036742967,7.524,311.9626770019531,90.92585754394531,0.02223992347717285,ok,
7,50.10219392325581,14.39261631627907,IY9XNXHNYPd1Bp5YgMs-Tw,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0007.jpg,0,owLFrxNx14S_585zOhENuA,2011-08,50.10219635726465,14.39263327930793,1.24,309.8973388671875,89.47758483886719,0.07633780688047409,ok,
7,50.10219392325581,14.39261631627907,IY9XNXHNYPd1Bp5YgMs-Tw,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0007.jpg,1,-JJ2Iwoc9N-sZ3uWzfmDfg,2014-05,50.10220569978298,14.39261128543023,1.358,307.2321472167969,89.18111419677734,359.9812622070312,ok,
