index,target_lat,target_lon,pano_id,pano_lat,pano_lon,distance_to_pano_m,heading,image_file
26,50.102755572093024,14.391597960465116,AKgB30PtZK5m3aHWjbYbgw,50.10278524138503,14.39156158552317,4.20,310.69,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0026.jpg
27,50.10278513255814,14.391544362790697,AKgB30PtZK5m3aHWjbYbgw,50.10278524138503,14.39156158552317,1.23,310.69,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0027.jpg
28,50.102814693023255,14.391490765116279,CAoSFkNJSE0wb2dLRUlDQWdJRHFxNnFITUE.,50.10282101460038,14.39149639561122,0.81,310.69,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0028.jpg
29,50.10284425348837,14.391437167441861,VCqi7NHaIAlVrIKk3hB2pA,50.1028437291593,14.3914547322524,1.25,310.69,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0029.jpg
30,50.10287381395349,14.391383569767441,VWgGIWg7JOEMfTs0ElZuTg,50.10290264996571,14.39134698517541,4.13,310.69,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0030.jpg
31,50.1029033744186,14.391329972093024,VWgGIWg7JOEMfTs0ElZuTg,50.10290264996571,14.39134698517541,1.22,310.69,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0031.jpg
32,50.10293293488372,14.391276374418604,OfBJRDuqeTOlgsxeGkcmiA,50.1029614425572,14.39123961880518,4.11,310.69,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0032.jpg
33,50.102962495348834,14.391222776744186,OfBJRDuqeTOlgsxeGkcmiA,50.1029614425572,14.39123961880518,1.21,310.69,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0033.jpg
34,50.10299205581395,14.391169179069767,x9TPbWSzQPmVp4Qhjq3Tsg,50.10301881213667,14.39113464457326,3.86,310.69,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0034.jpg
35,50.103021616279065,14.391115581395349,x9TPbWSzQPmVp4Qhjq3Tsg,50.10301881213667,14.39113464457326,1.39,310.69,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0035.jpg
36,50.10305117674419,14.39106198372093,uuUizRcQrH9p8MCO6oI_Ag,50.10308000864998,14.39102282230069,4.25,310.69,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0036.jpg
37,50.103080737209304,14.391008386046511,uuUizRcQrH9p8MCO6oI_Ag,50.10308000864998,14.39102282230069,1.03,310.69,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0037.jpg
38,50.10311029767442,14.390954788372092,rzw2Q_CpxPei2kj6lfZWIg,50.10314723282903,14.39090003824507,5.67,310.69,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0038.jpg
39,50.103139858139535,14.390901190697674,rzw2Q_CpxPei2kj6lfZWIg,50.10314723282903,14.39090003824507,0.82,310.69,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0039.jpg
40,50.10316941860465,14.390847593023254,rzw2Q_CpxPei2kj6lfZWIg,50.10314723282903,14.39090003824507,4.48,310.69,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0040.jpg
41,50.10319897906977,14.390793995348837,cpcDuicr3uWoMheEhLueZg,50.10320584844722,14.39079280264703,0.77,310.69,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0041.jpg
42,50.10322853953488,14.390740397674417,cpcDuicr3uWoMheEhLueZg,50.10320584844722,14.39079280264703,4.51,127.24,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0042.jpg
43,50.10320878277395,14.390780925750732,cpcDuicr3uWoMheEhLueZg,50.10320584844722,14.39079280264703,0.91,127.24,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0043.jpg
